email,username,is_admin,image,address
sample1@gmail.com,sample01,true,undefined,undefined
dfdhdfjgy,tfgjfyjgk,false,undefined,undefined
ajay@gmail.com,ajay01,true,undefined,undefined
myemail@gmail.com,my01,false,undefined,undefined
rahul123@gmail.com,rahul01,true,undefined,undefined
dhjkhfjfb@gmail.com,jamer344,true,undefined,undefined
rahul578@gmail.com,rahul67,true,undefined,undefined
kkkkkk,kkkkk,false,undefined,undefined
ajeet@gmail.com,ajeetl67,true,undefined,undefined
random567@gmail.com,raha,false,undefined,undefined
raju111@gmail.com,raj01,false,F306A8DE-073C-4AC4-9933-2BD43CD94D17-1747294073557.jpg,"99501 Overseas Highway, Key Largo, FL, USA"
memaster@gmail.com,me012,false,undefined,Mohali
thetysen@gmail.com,t123,false,undefined,shicago
mybro@gmail.com,my1234,false,F306A8DE-073C-4AC4-9933-2BD43CD94D17-1747646322992.jpg,jesalmer
rastogi@gmail.com,rs123,true,undefined,undefined
sampleuser@gmail.com,s1,false,Depositphotos_56107345_original-1747656146701.jpg,city goekon valley new road
