email,username,is_admin,image,address
sample1@gmail.com,sample01,true,undefined,undefined
dfdhdfjgy,tfgjfyjgk,false,undefined,undefined
ajay@gmail.com,ajay01,true,undefined,undefined
myemail@gmail.com,my01,false,undefined,undefined
rahul123@gmail.com,rahul01,true,undefined,undefined
dhjkhfjfb@gmail.com,jamer344,true,undefined,undefined
rahul578@gmail.com,rahul67,true,undefined,undefined
kkkkkk,kkkkk,false,undefined,undefined
ajeet@gmail.com,ajeetl67,true,undefined,undefined
random567@gmail.com,raha,false,undefined,undefined
raghav@gmail.com,r1234,false,pexels-photo-459203-1747291899064.jpeg,Mohali
